Date,Open,High,Low,Close,Adj Close,Volume
26-09-2022,891.25,917.400024,882,906.700012,897.715637,4182702
27-09-2022,911.25,921.450012,907.599976,918.75,909.64624,3545337
28-09-2022,913,926.950012,911.849976,920.799988,911.675903,4154139
29-09-2022,927,931,916.599976,923.049988,913.903625,2928360
30-09-2022,921.900024,935.549988,910.049988,932.349976,923.11145,3229901
03-10-2022,932.349976,932.849976,916,930.25,921.032288,1598950
04-10-2022,942.5,951,937.049988,946,936.626221,2331351
06-10-2022,955.5,967.950012,955.5,964.549988,954.992432,3713623
07-10-2022,965,972.950012,955,957.700012,948.210327,2174327
10-10-2022,942.200012,967.150024,942.200012,963.25,953.705322,2758812
11-10-2022,968.099976,972,936,938.599976,929.2995,3134969
12-10-2022,943.299988,963.900024,943.299988,952,942.566772,3502390
13-10-2022,972.049988,989.049988,969.299988,982.099976,972.368469,9698562
14-10-2022,1005,1023,994,1002.549988,992.615845,7424383
17-10-2022,1005.700012,1006.799988,991.099976,994.599976,984.744629,2136170
18-10-2022,1000,1013.650024,999.099976,1009.200012,999.200012,2487826
19-10-2022,1006.5,1006.5,994,995.650024,995.650024,2517099
20-10-2022,990,1019.299988,988,1017.400024,1017.400024,3931399
21-10-2022,1022.5,1029.900024,1011.599976,1027.199951,1027.199951,2071897
24-10-2022,1035,1038.849976,1030,1031.599976,1031.599976,398105
25-10-2022,1036,1037.25,1020.900024,1026.5,1026.5,3068136
27-10-2022,1031,1037.449951,1019.599976,1032.050049,1032.050049,3313674
28-10-2022,1031.949951,1039.75,1025.5,1030,1030,2423629
31-10-2022,1039,1052.5,1036.400024,1041.150024,1041.150024,2418565
01-11-2022,1049,1061.849976,1045,1060.050049,1060.050049,2275488
02-11-2022,1064.949951,1066.349976,1042.5,1045.199951,1045.199951,2799322
03-11-2022,1034,1049.199951,1033.099976,1045.150024,1045.150024,2396164
04-11-2022,1045.150024,1049,1033.449951,1045.349976,1045.349976,1709158
07-11-2022,1048.099976,1055.699951,1038.650024,1047.150024,1047.150024,2213508
09-11-2022,1060.900024,1061.449951,1049.199951,1053.449951,1053.449951,2307691
10-11-2022,1050,1062.400024,1047.050049,1052.449951,1052.449951,2321667
11-11-2022,1071,1098.699951,1069.099976,1090.650024,1090.650024,3923101
14-11-2022,1095,1102.949951,1090.050049,1099,1099,2170007
15-11-2022,1093.5,1106.099976,1088.900024,1103.900024,1103.900024,2172420
16-11-2022,1107.5,1112.449951,1099.349976,1105.199951,1105.199951,2213697
17-11-2022,1095.099976,1100.599976,1089.099976,1092.550049,1092.550049,2460883
18-11-2022,1098.050049,1106,1084,1103.150024,1103.150024,2623894
21-11-2022,1098.900024,1106.349976,1092.599976,1095.5,1095.5,1733741
22-11-2022,1091.099976,1105.900024,1088,1103.400024,1103.400024,2529146
23-11-2022,1108.949951,1111.5,1099.75,1103.400024,1103.400024,2217599
24-11-2022,1106,1135,1103.5,1129.599976,1129.599976,3295202
25-11-2022,1135.199951,1137.550049,1120.650024,1128.199951,1128.199951,1977441
28-11-2022,1125,1132.75,1117,1118.800049,1118.800049,2368293
29-11-2022,1118.800049,1138.75,1118.050049,1128.949951,1128.949951,1785948
30-11-2022,1127,1129.900024,1117,1120.800049,1120.800049,6053488
01-12-2022,1130,1150.650024,1128.400024,1136.400024,1136.400024,3919684
02-12-2022,1136.400024,1140.400024,1123.849976,1135.550049,1135.550049,2944923
05-12-2022,1133.25,1141.949951,1127.199951,1130.849976,1130.849976,2646466
06-12-2022,1121.599976,1125,1107,1120.949951,1120.949951,2807894
07-12-2022,1114,1116.599976,1102,1105.900024,1105.900024,2399879
08-12-2022,1113.75,1113.75,1098.800049,1101.349976,1101.349976,1752350
09-12-2022,1075,1075,1020.700012,1027.5,1027.5,12415478
